trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",20,12,15.497887284891336,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",30,11,22.987990896819326,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.2236886739786474}",25,2,23.87872907149327,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886091}",30,14,25.20516476979162,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.2192372693664723}",25,0,-65.20758816194527,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.21704489667280757}",25,8,-58.065250212272694,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
153,False,"{'a': 0.5, 'e': 0.2148744477060795}",20,6,11.007909066353463,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.2127257032290187}",20,0,19.343912232885756,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.21059844619672852}",30,9,18.112417966316578,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476124}",25,15,20.19793893971035,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2064075371174136}",25,7,32.35737519511257,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2043434617462395}",25,1,16.079003269830626,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2023000271287771}",25,19,0.4836143118824896,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.2002770268574893}",20,0,12.30312740294651,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.19827425658891443}",25,8,-55.174443121381536,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
162,False,"{'a': 0.5, 'e': 0.19629151402302528}",25,10,-43.15695364089188,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.19432859888279502}",25,8,-4.605744448588586,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19238531289396707}",25,0,14.49626905141778,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.1904614597650274}",20,0,-50.97543701883035,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
166,False,"{'a': 0.5, 'e': 0.1885568451673771}",20,2,28.344786102929252,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",20,8,23.233258554081452,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1848045639485463}",20,0,18.77664269324415,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.18295651830906084}",30,9,27.882179091386618,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597024}",30,0,22.56598532603065,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471053}",20,0,-23.76655332152779,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.17752252675876343}",20,10,5.073416321476996,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.1757473014911758}",20,1,33.237573875140114,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.173989828476264}",20,13,16.354880349500824,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.1722499301915014}",30,9,-18.108709322258427,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.17052743088958636}",20,0,-2.5879506358006603,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.1688221565806905}",25,19,11.81528785529288,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.1671339350148836}",20,7,-42.195392215254806,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.16546259566473476}",25,19,9.91468813672373,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808742}",20,0,-0.6822207685512001,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.16216989001100654}",30,8,28.519875761472512,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16054819111089647}",20,2,30.647634327858775,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.1589427091997875}",35,7,-61.579314445427634,"{0: 23, 1: 1, 2: 1, 3: 2, 4: 1}",1
184,False,"{'a': 0.5, 'e': 0.15735328210778962}",20,13,12.95841847489843,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.15577974928671173}",20,6,-77.47275751083734,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
186,False,"{'a': 0.5, 'e': 0.1542219517938446}",25,14,3.8448646371754824,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.15267973227590617}",25,13,-0.5584116267875534,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.1511529349531471}",20,2,29.066726409253675,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.14964140560361563}",25,17,15.185619018885106,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.14814499154757946}",20,2,-7.224273317389186,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14666354163210368}",30,13,31.48377206524129,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14519690621578263}",25,0,0.25986791264920583,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
193,False,"{'a': 0.5, 'e': 0.1437449371536248}",20,13,12.873809910822917,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.14230748778208857}",30,13,18.48248324626169,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.14088441290426768}",20,7,-18.481485661799898,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
196,False,"{'a': 0.5, 'e': 0.139475568775225}",25,13,-10.899750581583895,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.13808081308747275}",25,5,4.089678506192813,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.136700004956598}",25,15,-5.809428139060028,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13533300490703204}",35,19,18.79320551594295,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.13397967485796172}",20,1,35.07012023097622,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.1326398781093821}",35,23,10.636810499578775,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.13131347932828827}",20,9,15.762199174492977,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.1300003445350054}",25,7,21.34813660306256,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.12870034108965533}",20,0,33.72153990432123,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
205,False,"{'a': 0.5, 'e': 0.1274133376787588}",20,16,6.783149760212507,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.12613920430197118}",25,18,13.699490368465025,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.12487781225895148}",20,8,24.358246265230317,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.12362903413636196}",25,0,29.144404935317908,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
209,False,"{'a': 0.5, 'e': 0.12239274379499834}",25,9,28.07198233216439,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.12116881635704835}",25,13,25.019464953572424,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
